event_name,event_type,url,location_name,location_address,location_coord,short_description,session_times,subactivity_times,artist,require_booking,booking_detail
Neurodivergence: Diagnosis Normal,ideas,https://www.vividsydney.com/event/ideas/neurodivergence-diagnosis-normal,Vivid Ideas Exchange - Telstra Customer Insight Centre,"Level 2, 400 George Street, Sydney NSW 2000","{""latitude"": ""-33.8687911"", ""longitude"": ""151.2068389""}","Join writer Clem Bastow, autistic activist Dr Jac den Houting and Chrissy Flanagan, founder of Chaotic Social – a club for adults looking to make friends – as…","{""2023-06-15"": {""start_time"": ""18:30:00"", ""end_time"": ""19:45:00"", ""duration"": ""75.0""}}",NA,Clem Bastow,True,*Booking and transaction fees may apply.
The Last Ocean,light,https://www.vividsydney.com/event/light/the-last-ocean,Stargazer Lawn,"27 Hickson Rd, Barangaroo NSW 2000","{""latitude"": ""-33.8576755"", ""longitude"": ""151.2011718""}","The Last Ocean is rubbish. No, really: this massive tessellated 'ice sheet' is made of reclaimed ocean plastic. Taking its name from photographer John Weller's…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,Jen Lewin,False,NA
Common Ground,light,https://www.vividsydney.com/event/light/common-ground,Powerhouse Museum,"Back of Powerhouse Museum, 500 Harris Street, Ultimo NSW 2007","{""latitude"": ""-33.8796"", ""longitude"": ""151.200906""}","Like us, the natural world has its moods: it can be troubled or serene, furious or loving, chaotic or caring. And with intense reactions to our changing…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,Urbanscreen,False,NA
Queeries,ideas,https://www.vividsydney.com/event/ideas/queeries-2023,Vivid Ideas Exchange - Telstra Customer Insight Centre,"Level 2, 400 George Street, Sydney NSW 2000","{""latitude"": ""-33.8688799"", ""longitude"": ""151.2049436""}","Question everything with Queeries, a night of literature, stand-up, performance, and everything in-between from eight Australian and New Zealand LGBTIQ+…","{""2023-06-11"": {""start_time"": ""19:30:00"", ""end_time"": ""21:00:00"", ""duration"": ""90.0""}}",NA,Jared Richards,True,*Booking and transaction fees may apply.
Dandelion,light,https://www.vividsydney.com/event/light/dandelion,Hickson Road Reserve,"Circular Quay, Sydney NSW 2000","{""latitude"": ""-33.855523"", ""longitude"": ""151.210472""}","Make a wish, take a deep breath, and come watch Dandelion blow!
This 4,000kg steel recreation of the flower's wispy calyx, also known as a 'pappus', may…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,Amigo & Amigo,False,NA
Written In The Stars,light,https://www.vividsydney.com/event/light/written-in-the-stars,Circular Quay and The Rocks,"Circular Quay, Sydney NSW 2000","{""latitude"": ""-33.856972"", ""longitude"": ""151.212028""}","Concept: Gill Minervini in collaboration with Australian Traffic Network
Soundtrack: The Planets by Gustav Holst, remixed by Peewee Ferris
Head to the…","{""2023-05-28"": {""start_time"": ""21:10:00"", ""end_time"": ""21:20:00"", ""duration"": ""10.0""}, ""2023-05-31"": {""start_time"": ""21:10:00"", ""end_time"": ""21:20:00"", ""duration"": ""10.0""}, ""2023-06-04"": {""start_time"": ""21:10:00"", ""end_time"": ""21:20:00"", ""duration"": ""10.0""}, ""2023-06-07"": {""start_time"": ""21:10:00"", ""end_time"": ""21:20:00"", ""duration"": ""10.0""}, ""2023-06-12"": {""start_time"": ""21:10:00"", ""end_time"": ""21:20:00"", ""duration"": ""10.0""}, ""2023-06-14"": {""start_time"": ""21:10:00"", ""end_time"": ""21:20:00"", ""duration"": ""10.0""}}",NA,NA,False,NA
Jeanette Winterson | LIFE AND MARS: The Future of Human,ideas,https://www.vividsydney.com/event/ideas/jeanette-winterson-life-and-mars-the-future-of-human,Sydney Town Hall,"483 George Street, Sydney NSW 2000","{""latitude"": ""-33.873152"", ""longitude"": ""151.206145""}","There are few writers that can skip between AI and transhumanism, religion, art, love and feminism with as much warmth and wit as Jeanette Winterson. Don't…","{""2023-06-03"": {""start_time"": ""16:00:00"", ""end_time"": ""17:15:00"", ""duration"": ""75.0""}}",NA,Jeanette Winterson,True,*Booking and transaction fees may apply.
Cornelius + Nice Biscuit | Tumbalong Nights,music,https://www.vividsydney.com/event/music/cornelius-nice-biscuit-tumbalong-nights,Tumbalong Park,"11 Harbour St, Sydney NSW 2000","{""latitude"": ""-33.875367706309"", ""longitude"": ""151.20140473306""}","Closing out Tumbalong Nights for 2023, Japan’s genre-hopping genius, cult icon, Cornelius brings his transcendent live show to Vivid Sydney. And Brisbane 5…","{""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""22:00:00"", ""duration"": ""240.0""}}","[{""name"": ""Tiptoe Giants"", ""start_time"": ""17:00:00"", ""end_time"": ""18:00:00"", ""duration"": 60.0}, {""name"": ""DJ - Jack's Hit House"", ""start_time"": ""18:00:00"", ""end_time"": ""19:30:00"", ""duration"": 90.0}, {""name"": ""Nice Biscuit"", ""start_time"": ""19:30:00"", ""end_time"": ""20:30:00"", ""duration"": 60.0}, {""name"": ""DJ - Jack's Hit House"", ""start_time"": ""20:30:00"", ""end_time"": ""21:00:00"", ""duration"": 30.0}, {""name"": ""Cornelius"", ""start_time"": ""21:00:00"", ""end_time"": ""22:00:00"", ""duration"": 60.0}]",NA,False,NA
NOCTURNE | An Immersive Journey ,ideas,https://www.vividsydney.com/event/ideas/nocturne,Clyne Reserve,"2 Merriman Street, Millers Point NSW 2000","{""latitude"": ""-33.8567673"", ""longitude"": ""151.2015573""}",Wander away from the Light Walk on an immersive audio journey through the dark to hidden alleyways and secret parts of The Rocks&nbsp;and Walsh Bay. Let your…,"{""2023-05-28"": {""start_time"": ""17:30:00"", ""end_time"": ""22:30:00"", ""duration"": ""6060.0""}, ""2023-06-04"": {""start_time"": ""17:30:00"", ""end_time"": ""22:30:00"", ""duration"": ""6060.0""}, ""2023-06-11"": {""start_time"": ""17:30:00"", ""end_time"": ""22:30:00"", ""duration"": ""6060.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Innovate to Regenerate 2030,ideas,https://www.vividsydney.com/event/ideas/innovate-to-regenerate-2030,Vivid Ideas Exchange - Telstra Customer Insight Centre,"Level 2, 400 George Street, Sydney NSW 2000","{""latitude"": ""-33.8687911"", ""longitude"": ""151.2068389""}","This hands-on, practical, forward-thinking, and highly collaborative workshop is for people who are ready do the work to create a thriving future for people…","{""2023-06-16"": {""start_time"": ""12:30:00"", ""end_time"": ""14:00:00"", ""duration"": ""90.0""}}",NA,Reece Proudfoot,True,*Booking and transaction fees may apply.
